ppt_69,ppt_85,ppt_101,ppt_117,ppt_133,ppt_149,ppt_165,ppt_181,ppt_197,ppt_213,ppt_229,ppt_245,ppt_261,ppt_277,tmax_69,tmax_85,tmax_101,tmax_117,tmax_133,tmax_149,tmax_165,tmax_181,tmax_197,tmax_213,tmax_229,tmax_245,tmax_261,tmax_277,EVI_69,EVI_85,EVI_101,EVI_117,EVI_133,EVI_149,EVI_165,EVI_181,EVI_197,EVI_213,EVI_229,EVI_245,EVI_261,EVI_277,yield
20.54109571,36.37335769,17.21767191,65.26165302,46.85891556,72.10993632,69.18935995,37.27021944,3.399529123,18.21558153,25.87839479,63.21500639,1.051482977,9.909745005,25.67468347,28.91934441,28.555448,28.243764,30.21488059,30.54922219,31.69120642,32.28722972,34.71174574,32.64882158,34.55616736,29.58757666,33.32192798,31.3329475,0.195637086,0.218944437,0.255614714,0.270055438,0.325045415,0.439291794,0.537788163,0.643257258,0.660767445,0.621781203,0.538756168,0.431111994,0.317825919,0.240775058,192.3
24.36326565,37.75318998,13.92483778,48.14019506,37.58154018,21.5334173,56.57369327,36.52469003,18.48495232,71.92088243,24.61802419,53.05745913,2.106709126,6.39295225,25.60026087,29.6597896,29.26984254,29.73760263,30.73371315,30.88751498,32.69672846,32.80019082,34.99558138,33.891837,34.99171757,31.85208871,33.53469268,32.49204922,0.198640384,0.208315974,0.243316312,0.28920237,0.352189826,0.482123212,0.583963919,0.670435489,0.671078511,0.601029976,0.498012811,0.387364035,0.31434274,0.253115751,196.2
25.4302674,38.89803597,12.73879656,46.84432616,35.98735026,23.48212825,48.95593965,44.32183678,14.71131918,72.94152573,29.0006559,46.97248479,3.838456878,9.52425761,25.71931613,29.32492135,29.07118793,29.60895405,30.68975794,30.7554601,32.69593317,32.71896288,35.14367956,34.06796503,35.18693578,31.99625896,33.71478383,32.39290978,0.173238327,0.198035755,0.233687259,0.271207983,0.319872432,0.460903443,0.5754534,0.653269321,0.643529307,0.588527475,0.469513475,0.350004926,0.277683352,0.229867671,182.4
40.14021084,41.08227053,27.68787411,105.6092468,32.17126344,41.52954816,19.771409,55.20903342,9.496322408,24.57055004,9.899275264,19.55727542,3.717911467,14.10309915,25.92900219,24.87110352,29.10189829,28.66910725,30.1765857,30.71917105,33.13749914,32.49679986,34.91131325,31.93887412,33.54963052,29.82014004,33.82438026,31.23028331,0.174834938,0.196793466,0.198766009,0.188256393,0.22180758,0.280819676,0.375921123,0.533882343,0.620899236,0.650013439,0.633761366,0.527145104,0.383884313,0.231601706,203.4
44.11621027,42.4310268,19.68689288,111.8932761,37.34463227,50.32324111,26.38143651,32.9502202,18.2496143,22.62606342,23.81584372,38.69101745,3.960575206,4.56343662,25.28865356,25.58672859,29.42488112,28.69355737,30.33474957,30.57362783,33.17425761,32.39528932,34.91474118,32.54513298,33.67821239,29.40745148,33.62644262,31.24034904,0.182203053,0.201514537,0.199851518,0.182181265,0.209734902,0.277014056,0.356582062,0.506855164,0.597804798,0.630372183,0.626027617,0.537594103,0.417160354,0.27035671,185.4
28.7783753,28.60076338,23.57314965,59.1184843,29.94123261,45.33716733,40.09206996,36.71431355,7.953724653,29.00815622,38.97884483,68.38956055,2.119770904,13.60424189,25.75725094,27.14668832,29.62442186,28.94798006,30.31377098,30.92522592,32.63100536,32.13438353,35.04525928,33.09429185,34.06420841,29.3971712,33.30145798,31.50655264,0.180535727,0.199922549,0.201473981,0.207876313,0.230351263,0.303771213,0.418902285,0.57470914,0.652731501,0.668194844,0.628731201,0.515548164,0.3619484,0.238355234,178.3
22.22558652,33.13090799,29.39782426,52.81935973,48.3072979,37.44727097,51.78848192,28.9562788,6.509521271,30.311922,39.33006506,67.21410901,1.790407713,8.197061042,25.34904915,29.00267442,28.56978527,28.93491112,30.14473765,30.59317462,32.03354182,31.85044699,34.30637256,33.24517354,34.54752512,30.7450355,33.07380416,31.56605054,0.161785643,0.175356617,0.209573975,0.248269786,0.309446403,0.483041561,0.588557927,0.671023421,0.660113279,0.593098346,0.458660205,0.333064933,0.258901622,0.214179354,193.8
23.87288858,35.77534696,25.15834929,50.41551769,55.86652412,36.90686851,61.266281,31.82269712,9.226924509,34.93622011,47.41550155,56.00321869,2.27449043,8.405585638,25.69216283,29.36954009,28.78204713,29.25198698,30.45881918,30.92973709,32.24567439,32.19545371,34.67795456,33.65331416,34.82759332,31.19905335,33.24655791,31.77193464,0.196010056,0.216069596,0.266555079,0.305455265,0.358647013,0.480163754,0.575845414,0.649488051,0.650575981,0.599390424,0.492068311,0.388872964,0.308027259,0.253110593,189.2
40.32819445,43.04979178,25.12615243,108.3106049,26.34524879,42.75189382,28.09057507,38.21782471,17.42161204,27.43336725,14.57025765,21.58689429,4.218286856,9.758076553,25.52359303,25.15888194,29.24768348,28.8180924,30.19227615,30.65991025,33.13624774,32.34731478,34.84037394,32.02322739,33.39688358,29.52064501,33.5407875,31.17110789,0.167347043,0.191749617,0.200435094,0.189878579,0.222660765,0.280479191,0.374479235,0.525371658,0.608444837,0.623997281,0.613302165,0.494145534,0.35920197,0.231790566,186.3
41.7997169,46.65555934,21.48429926,134.7471174,41.88420842,47.55327503,29.92612916,33.73362434,10.20528397,25.71328406,27.33172417,24.49021476,5.182840217,7.597437666,26.16957253,25.27917143,28.73546329,28.08374698,29.37401137,29.8293576,32.05831536,32.4323991,34.68638705,32.1954106,33.63696818,29.45343531,33.01339318,30.49974309,0.195453048,0.224607494,0.258980063,0.211601428,0.236652801,0.300319135,0.353694661,0.475975503,0.529280749,0.56028224,0.580644189,0.525248122,0.413859838,0.276278078,160
44.2737242,45.51768229,17.87168101,124.6921255,42.74188569,37.38319592,24.77476054,26.31838939,9.973712312,29.71311713,20.77007632,37.32031619,3.997970544,5.955741322,25.70966853,25.46120502,29.03071241,28.34753354,29.73918548,30.15678612,32.27142139,32.39340411,34.70022162,32.33786464,33.62834897,29.29929973,33.35598578,30.94570584,0.174389003,0.206995809,0.229400468,0.211600587,0.235184242,0.277278199,0.330322915,0.456110732,0.517953624,0.559372989,0.584038168,0.517552999,0.407053254,0.262051055,174.2
20.36555526,34.58166256,30.14367181,82.82817552,53.06974009,67.48133746,49.84950193,36.18726546,5.519095966,21.77073933,29.97334193,45.22238858,0.549468296,2.885390011,25.64411988,28.91353146,28.05352751,28.08914895,29.83771306,30.75670598,32.0423936,32.52985352,34.54122751,32.5948525,34.58855225,29.51204953,33.2862936,31.11360454,0.188999132,0.211147948,0.247054067,0.268050584,0.315916939,0.417508243,0.504336589,0.602750408,0.619398634,0.583805695,0.509512576,0.417878294,0.321256278,0.238235419,187
16.30829244,46.01315021,30.46753874,55.3671034,72.04793526,18.96850101,30.65562481,42.71318671,0.594523313,44.69160175,119.3774166,0.664958629,0.102599145,17.53140835,27.31109858,28.87178731,27.80758452,27.9174619,30.52952003,32.41079316,33.38908428,33.849956,35.97370009,33.96051342,35.09382768,31.23870351,35.02092555,31.81196301,0.22076435,0.247878925,0.288916921,0.284187569,0.289480091,0.349625806,0.414992027,0.465919527,0.493303752,0.50020336,0.485925807,0.469828994,0.401548256,0.259755174,151.4
14.42976541,46.20816077,27.85107298,48.67823438,35.84566161,23.98012758,12.1126817,52.17629841,12.8213737,43.27779015,27.7318121,8.546644392,1.044743718,3.298844199,27.2569239,29.48999002,28.70602776,29.9141568,30.50859293,31.44965472,33.43524138,34.2477762,35.43494531,35.1947803,35.60836811,32.81945302,34.2924755,32.81893938,0.249145221,0.267206179,0.293233293,0.328412877,0.369351748,0.453186472,0.509105564,0.56272198,0.537042575,0.491795364,0.459051087,0.343120652,0.25878512,0.202599529,165.9
40.14485472,47.39706101,28.92929954,116.9555299,44.46710861,48.78166325,21.7359894,32.46160412,12.33921356,32.38889457,25.85646929,14.59361889,5.491565248,9.71725879,25.76996129,25.08346134,29.08823399,28.58903491,29.96753663,30.14808478,32.64103536,32.30770008,35.19331995,31.84555667,33.05654069,29.44683036,33.39909448,31.13631002,0.150651278,0.174510095,0.183329543,0.158715498,0.193718766,0.251207978,0.328962451,0.476114108,0.546009245,0.572311949,0.59159987,0.495170733,0.366026777,0.233206132,170
22.01440695,33.53875188,21.79121177,65.86887622,35.95721186,46.75148993,56.37702584,35.47698245,18.01152971,30.48285625,17.27272255,86.38780466,1.802201549,14.35154334,25.50486612,27.67634547,29.04031437,28.39673392,30.48279968,30.8953055,32.29458207,32.28567995,35.09016447,32.77086466,34.79000032,29.18903564,33.60545103,31.30508726,0.204492862,0.213711564,0.238255197,0.249973122,0.288321297,0.378459936,0.475026316,0.605169524,0.640405977,0.623909625,0.554464132,0.44532477,0.335643021,0.257723871,184
