CowMtotal,YieldMean,DurationMean,AMFsum,F60.120Sum,PMF60sSum,PMF30sSum,MaxSum,TurnMax,Lag,Quartile
25,20.07326,268.68,117.02497383715428,147.1705,155.24050000000005,156.815,160.76999999999998,142.04,2,3
30,19.255625,267.9,132.72121161646265,171.5135,176.83400000000003,178.939,183.75,157.67999999999998,2,3
32,20.65465625,263.8125,155.01075874861556,202.188,210.19100000000003,212.426,218.76,185.51,2,3
25,19.95098,270.96,114.68616561531158,145.89350000000002,154.051,155.83,159.99,112.2,3,3
30,19.897133333333333,275.3,134.54611973376208,170.104,185.1015,187.691,193.44000000000003,137.36999999999998,3,3
32,19.10871875,262.6875,145.90267553623812,186.4615,196.3535,198.601,203.61,128.25,3,3
25,20.81084,274.08,119.29406820724124,155.84249999999997,162.192,164.22000000000003,168.15,160.5,1,3
30,20.16736666666667,278.9,133.2934154363174,170.13049999999998,176.67399999999998,179.05900000000003,183.93,169.76999999999998,1,3
32,20.583796875,257.25,160.72516387101038,212.714,217.9905,220.752,226.59,215.41,1,3
25,20.66862,262.68,121.66269716866266,157.18300000000002,162.7605,164.593,169.2,143.31,2,3
30,20.580416666666668,267.7,144.19859584473005,187.436,195.341,198.0840000000001,203.79,177.63,2,3
32,19.8065,290.25,135.69726756573797,174.265,182.322,184.539,188.76,158.67,2,3
25,19.98476,254.52,121.8205372705364,158.5645,167.55149999999998,169.993,174.05999999999997,131.37,3,3
30,19.391066666666667,267.2,136.86575518851149,173.84500000000003,184.33750000000003,186.748,192.03,131.49,3,3
32,20.537046875,275.90625,147.08604200390337,190.6315,197.253,199.314,204.18,141.36,3,3
25,20.025488,241.68,126.55433834873652,165.81050000000002,171.173,173.796,178.5,167.23,1,3
30,19.25911666666667,266.5,133.79833447443465,179.1705,185.01,187.523,191.70000000000005,173.67,1,3
32,19.84109375,271.125,147.6760979924195,188.2995,195.30900000000003,198.087,203.46,189.16000000000005,1,3
25,19.48168,270.12,112.2573314203959,146.938,151.04500000000002,152.939,157.5,138.6,2,3
30,20.12071666666667,260.2,143.03871962240947,188.811,195.66199999999995,197.924,202.47,178.95999999999998,2,3
32,19.984125,264.09375,149.81438761117056,188.187,198.382,200.97,205.83,164.3,2,3
25,20.6797,267.12,119.8219940919028,152.844,158.966,160.517,164.27999999999997,116.72,3,3
30,21.606483333333337,277.0,143.09664079102973,186.96,194.585,196.538,201.54,147.23000000000002,3,3
32,19.432640625,258.65625,150.79722301500564,192.691,200.3245,202.378,207.15,140.21999999999997,3,3
25,19.56652,282.48,107.70428287736308,137.0595,142.362,144.024,148.20000000000002,136.8,1,3
30,20.114028333333337,271.1,137.3271850812593,178.192,185.5741,187.7972,192.63,174.98999999999995,1,3
32,20.059375000000003,257.4375,154.51499342800574,205.993,209.945,212.061,217.98,205.92,1,3
25,19.9942,252.96,122.96986089691494,158.274,161.5895,163.27800000000002,167.55,151.59,2,3
30,19.88273333333333,263.5,144.45302691350747,184.556,195.023,197.603,202.56,172.8,2,3
32,19.415328125,271.3125,142.09656905177388,182.4215,190.3685,192.699,197.76,163.99,2,3
25,20.616504,272.76,116.30079798181109,154.7104,157.70000000000002,159.324,163.29000000000002,126.33,3,3
30,19.96438333333333,260.6,142.87042835786872,183.147,190.45150000000004,192.58,197.67,131.85,3,3
32,19.749271875,268.03125,146.3998305138112,187.456,198.3915,200.685,205.2,136.16000000000005,3,3
25,20.088392,251.28,124.86928435654184,157.553,161.32279999999997,163.38500000000002,168.18,159.21,1,3
30,21.76933333333334,278.8,145.31548759771235,192.79,201.9985,204.781,209.31000000000003,186.26,1,3
32,21.340375,268.96875,156.9373893179972,198.3815,208.582,210.743,216.45,199.83,1,3
25,19.52106,256.08,118.20811994421064,154.518,161.63049999999998,164.188,168.00000000000003,140.94,2,3
30,19.55441666666667,275.2,131.79583434991656,165.5795,177.19250000000002,179.329,184.44,134.49,2,3
32,20.1699375,272.90625,146.90528775489184,190.07300000000004,199.4245,202.356,207.69,165.79000000000002,2,3
25,19.31018,249.96,118.62579569689883,160.71199999999996,164.74400000000003,166.819,171.0,117.51,3,3
30,20.55293333333333,261.9,146.7585988573122,192.2635,199.8655,202.91899999999995,207.69,144.15,3,3
32,19.776140625,273.84375,143.6165307395521,184.002,196.3785,198.756,203.16000000000005,130.64,3,3
25,20.35572,278.76,113.13934024641031,144.82850000000002,150.567,152.03300000000002,155.76000000000002,148.73000000000002,1,3
30,20.536026666666668,274.4,139.21705528271264,176.35650000000004,186.9398,189.415,195.3,173.54,1,3
32,18.957671875,256.59375,144.13745957679333,186.689,195.122,197.886,203.22,188.91000000000005,1,3
25,19.38188,261.6,115.5366817348312,153.0005,158.6855,161.175,165.42000000000002,139.8,2,3
30,19.47595,262.2,139.29242435251783,182.1935,188.7335,191.063,195.93,168.03,2,3
32,19.955046875,275.8125,144.5050122522026,185.7725,192.068,194.356,199.32,170.79,2,3
25,19.43924,260.16,116.39188043954069,150.671,155.814,157.384,161.31,122.73,3,3
30,20.398433333333333,250.5,153.3829447435798,200.693,206.2475,209.254,214.89000000000004,130.14,3,3
32,19.491765625,273.46875,141.88511404544937,178.64200000000002,188.992,191.031,196.56,131.04000000000002,3,3
25,19.37972,267.12,113.20901847653025,145.69150000000002,150.5215,152.41000000000005,155.43,147.04,1,3
30,19.799516666666666,249.1,151.04033160969263,202.96,208.4545,211.179,216.29999999999995,199.53000000000003,1,3
32,19.263796875,266.4375,144.61914465790855,183.761,192.1645,194.939,199.38,182.2,1,3
25,20.13286,256.08,125.0632842387756,161.41449999999998,168.49450000000002,171.35600000000002,175.53,133.35000000000002,2,3
30,19.260666666666665,261.9,136.43144853088066,176.937,187.2495,190.245,195.09,161.44000000000003,2,3
32,19.581875,279.1875,139.6322544287832,179.8415,190.5225,192.922,197.85,165.36,2,3
25,19.56151,273.84,110.30567905160171,142.18574999999998,153.10975,155.0245,158.85,126.37,3,3
30,19.82711666666667,272.6,135.87988220915628,171.281,178.938,180.929,185.49,130.82999999999998,3,3
32,20.08140625,261.1875,151.93013839217036,195.511,202.81,205.189,210.36,138.66,3,3
25,20.57186,273.48,116.37965982836866,149.52949999999998,153.5765,155.202,158.67,151.35,1,3
30,20.591475,256.0,148.72024810657234,193.77175000000005,204.20675000000003,206.5905,211.26,199.06000000000003,1,3
32,20.043,262.40625,151.77481837255942,199.302,204.014,206.663,211.86,195.0,1,3
25,19.99264,268.92,113.76288954766838,148.36950000000002,152.7505,154.691,158.48999999999998,139.65,2,3
30,19.67428333333333,269.5,137.16208922931838,173.11350000000004,180.0435,182.224,187.62000000000003,159.32,2,3
32,19.810953125,269.8125,145.3466296716599,189.0185,199.283,201.733,206.85,179.21999999999997,2,3
25,19.538560000000004,261.48,116.34490241909626,153.90050000000002,161.8725,164.043,168.09000000000003,117.09,3,3
30,19.224200000000003,261.4,136.67153117885638,180.22,188.7225,191.19000000000003,195.93000000000004,124.02,3,3
32,19.703875,264.84375,149.2497975858939,192.5435,200.2205,202.54200000000003,207.42,130.52999999999997,3,3
25,19.6357,251.4,119.27251972266733,151.433,159.8245,161.84599999999998,166.35,152.21999999999997,1,3
30,19.678853333333333,280.7,130.1822852223137,165.29840000000002,177.3215,179.68900000000002,184.56000000000003,171.18,1,3
32,20.089046875,251.34375,158.71631402838565,203.924,210.5825,213.615,218.94,202.98,1,3
25,20.78854,281.04,115.00674997354268,147.67000000000002,153.96800000000002,155.98700000000002,159.36,146.97,2,3
30,20.12894,261.4,145.63867045429117,185.54775000000004,193.3045,195.976,201.51,176.30999999999997,2,3
32,20.104984375,268.21875,149.64897689697003,199.987,205.342,207.438,211.98,165.86,2,3
25,20.115088,269.88,116.6064257891697,154.29550000000003,163.755,166.644,171.39,127.5,3,3
30,20.959666666666667,267.3,145.45369715894608,195.4845,202.6925,205.56700000000004,210.21,134.03,3,3
32,20.783240625,281.625,147.2533015915567,190.57125,203.077,206.533,212.07,136.23,3,3
25,20.42348,264.12,118.21267816835362,159.28650000000002,167.511,170.415,174.14999999999998,156.9,1,3
30,20.516416666666665,270.9,140.0913859513987,182.226,191.368,194.18699999999995,200.07,184.2,1,3
32,20.041921875,265.96875,150.13460507093168,193.6485,207.2685,209.858,214.47,191.88,1,3
25,19.479394,263.4,113.41068764631174,150.288,155.8466,158.0112,162.15000000000003,138.53,2,3
30,20.257583333333333,295.9,125.79084756235268,158.67400000000004,168.13950000000003,169.956,174.3,152.37,2,3
32,21.3935625,288.0,147.15822557288382,184.032,203.1045,205.9325,210.27,163.56,2,3
25,19.6353,264.72,114.50450727672109,143.33049999999997,152.79100000000005,154.346,157.92000000000002,112.05,3,3
30,20.15973333333333,267.3,140.49130105980484,180.735,187.144,189.033,193.83,140.94000000000003,3,3
32,19.634609375,247.59375,160.5730169455291,206.178,218.2505,221.835,226.83,143.70999999999998,3,3
25,19.81876,286.44,109.32184887333383,138.10350000000005,147.53400000000002,149.151,153.3,142.62,1,3
30,19.6396,267.6,137.31837221511856,175.87150000000003,184.7245,186.96600000000004,191.46,175.50000000000003,1,3
32,19.649500000000003,274.21875,142.84679292740591,174.895,181.734,183.568,188.28000000000003,176.94,1,3
25,19.68638,262.44,116.66306185679268,147.955,158.044,159.94500000000002,163.98,139.53,2,3
30,19.090466666666668,256.3,139.02542288644148,172.86649999999997,183.985,186.433,191.1,165.03,2,3
32,20.3095,261.9375,156.21273537152177,198.3325,212.8275,215.1735,219.87,164.22,2,3
25,19.78118,291.96,103.6778722148944,133.45749999999998,143.65849999999998,145.2655,148.95,116.67,3,3
30,19.977516666666663,256.1,146.71140211234354,192.3245,202.598,205.404,209.4,157.27999999999997,3,3
32,20.118859375,266.625,148.10748205492425,193.6905,198.9585,201.657,206.67,126.33,3,3
25,19.54064,269.28,112.24200908384287,144.88100000000003,149.1325,151.079,155.64,146.37,1,3
30,19.553016666666668,259.9,139.51298374310963,182.33750000000003,195.8965,198.693,203.88,178.56,1,3
32,19.8678125,255.0,153.61165244425564,199.0685,207.0555,209.806,215.1,196.05,1,3
25,19.93326,263.88,117.73003621124488,150.3565,157.0495,159.449,163.64999999999998,132.75,2,3
30,20.220610000000004,256.4,145.47577156755182,186.444,202.8363,205.6575,210.21,159.06000000000003,2,3
32,20.092453125,269.90625,149.2919704090438,191.3535,200.0598,202.779,207.93,162.776,2,3
25,20.82016,268.8,120.00145989878118,155.933,159.6625,161.547,165.17999999999998,127.62,3,3
30,20.06846666666667,270.2,137.83467369873526,172.559,182.493,184.991,189.45,141.0,3,3
32,21.065890625,266.25,159.2574898024365,207.5235,214.503,216.609,221.46,172.05,3,3
25,19.747528,267.84,115.00579366164764,145.46525,157.32100000000003,160.183,164.79,153.0,1,3
30,19.438916666666668,269.6,134.3046462165589,162.32950000000002,175.3465,178.25400000000005,184.11,163.28,1,3
32,20.56878125,275.25,148.45902142737162,193.197,203.9745,206.337,210.90000000000003,189.21,1,3
25,19.79024,265.8,116.95941810560566,150.07950000000002,154.45399999999998,156.084,160.2,136.63,2,3
30,19.13408333333333,276.3,128.50483488428893,164.9735,170.98850000000002,172.96299999999997,177.23999999999998,143.57999999999998,2,3
32,20.4574375,275.0625,146.6296008277871,193.2615,204.86650000000003,208.0,212.58,162.99,2,3
25,21.75464,276.24,122.44406633864374,160.1955,164.72400000000002,166.433,169.83,137.57999999999998,3,3
30,20.631315000000004,273.9,138.72634154616114,183.4995,195.62425,198.8685,204.72000000000003,148.83000000000004,3,3
32,20.218296875,286.21875,137.8427968576926,170.0,186.13300000000004,188.1715,192.57,123.18,3,3
25,19.64278,257.64,117.51492098515136,151.6495,157.3585,159.53900000000002,163.47000000000003,152.34,1,3
30,19.712425,273.7,134.26219051165654,168.87800000000004,177.12249999999997,178.906,183.48,169.26000000000002,1,3
32,20.11340625,262.21875,152.9253656635189,197.3315,206.45550000000003,208.514,213.27,199.26,1,3
25,19.729948,256.92,119.93029364404752,156.78375,163.55599999999998,165.883,170.76,141.42000000000002,2,3
30,19.683375,277.8,132.06989941412706,169.42124999999996,177.89975000000004,180.3415,184.59,156.84,2,3
32,20.509453125,270.09375,150.4434122811928,192.8025,203.5755,205.87,210.96,168.28000000000003,2,3
25,19.31065,271.32,110.4336277712167,145.749,150.53349999999998,152.58900000000003,156.39,121.2,3,3
30,20.65168333333333,258.9,150.98425712757938,197.53000000000003,202.853,205.248,210.00000000000003,133.70999999999998,3,3
32,20.404396875000003,255.75,159.57306657931505,205.65975000000003,215.8,218.887,224.97,136.56,3,3
25,20.66638,276.36,114.4567602303929,145.4505,157.63649999999998,160.171,164.31,147.01,1,3
30,20.68326666666667,269.9,140.23783115782865,182.6605,193.083,195.744,201.75000000000003,181.38,1,3
32,19.357156250000003,270.46875,143.91016975322572,180.71,190.23450000000005,192.5285,197.37,177.93,1,3
25,19.83728,271.2,113.69886747401468,149.8215,154.785,157.065,160.95,141.3,2,3
30,20.62083333333333,263.4,144.86711580969194,183.4815,194.0615,196.074,201.33,157.41000000000005,2,3
32,19.129890625,245.625,156.48215720761362,207.4835,214.9665,218.86,223.77,169.69,2,3
25,19.89924,275.04,112.60073767506984,137.49900000000002,150.4015,151.818,155.4,122.44,3,3
30,20.006126666666667,264.7,140.93760119505055,184.64565,191.30599999999995,193.647,198.78,130.01999999999998,3,3
32,21.256096875,269.0625,154.43315229623727,204.2429,214.3295,216.264,220.98,148.63,3,3
25,19.5841,273.72,109.3380821612148,139.5875,148.806,150.87,155.25,144.54000000000002,1,3
30,19.79276666666667,259.1,143.45382332386308,186.85200000000003,193.47050000000004,195.863,200.64,186.47,1,3
32,20.5875609375,262.875,155.8665999485152,199.83750000000003,205.91950000000003,208.559,213.51,200.64,1,3
25,20.20302,263.88,120.17425560961355,153.73100000000002,162.336,164.473,168.39,141.63000000000002,2,3
30,19.28458333333333,279.9,127.87356637886027,164.11050000000003,170.883,173.71499999999995,179.49000000000004,147.98999999999998,2,3
32,20.72634375,271.6875,150.25501523815274,190.952,199.553,202.087,206.73,178.76999999999998,2,3
25,20.640840000000004,258.0,123.27856665046428,165.07999999999998,170.04250000000002,172.59,176.67,120.9,3,3
30,19.667383333333337,273.7,134.7691869451918,170.29750000000004,178.10199999999998,179.959,184.32,127.2,3,3
32,20.096734375,257.15625,155.2183983488891,201.321,211.013,213.574,218.97,130.71,3,3
25,20.1454,268.44,117.19434090054884,144.98450000000005,154.785,156.4425,159.57,144.89999999999998,1,3
30,20.108999999999995,272.7,137.84448217602355,176.10299999999998,186.0105,188.063,193.32,178.01000000000002,1,3
32,19.663328125,249.5625,157.1999858540448,200.965,208.1235,210.371,216.18,201.15,1,3
25,19.8204,270.84,114.50101119049287,146.4585,155.9655,158.10600000000002,162.24000000000004,148.5,2,3
30,20.8426,273.5,140.42264050730162,180.736,190.229,192.3615,197.58,159.54000000000005,2,3
32,20.109953125,247.78125,160.03198590199497,208.659,217.0175,220.33,227.01,181.14,2,3
25,19.33648,271.68,109.8847301454052,144.469,149.1705,150.966,154.61999999999998,133.67999999999998,3,3
30,20.600916666666667,276.1,137.71153718440843,178.7045,185.137,187.099,191.46,132.99,3,3
32,19.694000000000003,270.46875,146.6719206375401,186.7055,193.167,195.165,199.56,121.26000000000002,3,3
25,19.86974,283.92,107.61091304144423,143.2135,148.6675,150.08100000000002,153.42,144.06,1,3
30,19.09998333333333,253.2,142.77317381225348,185.2915,193.87200000000004,196.43700000000004,201.72,188.58,1,3
32,19.117265625,259.03125,146.6609971450428,188.6965,200.0565,203.73650000000004,208.89,192.54,1,3
25,19.20706,263.88,112.08076270045224,143.81950000000003,149.77200000000002,151.631,156.06,141.72,2,3
30,19.58326,270.2,133.55969065751137,170.646,179.1708,181.32800000000003,186.57000000000005,161.52,2,3
32,20.49796875,259.5,156.2910418022289,200.3895,213.0695,215.666,220.83,183.57,2,3
25,19.38542,281.16,105.98640798715904,136.138,142.0115,144.052,147.66,118.8,3,3
30,19.85531666666667,249.4,150.22951806120471,194.215,203.474,205.293,209.82,127.38,3,3
32,20.2614375,268.875,148.5451379664529,196.7445,205.12250000000003,207.39,213.06,143.13,3,3
25,21.15556,271.2,119.1608771297272,151.75400000000005,158.4185,160.09900000000002,163.86,155.36999999999998,1,3
30,20.472700000000007,254.2,150.3730628708175,199.551,204.9045,207.675,212.4,196.19,1,3
32,19.693140625,257.34375,151.44993542601136,200.8675,206.6565,210.115,214.83,204.72000000000003,1,3
25,19.94739,281.16,109.23332413334607,136.88925,146.92025,148.69349999999997,152.28,130.73999999999998,2,3
30,19.3732,272.4,130.95603160601252,165.2335,180.54700000000005,182.716,187.77,152.45999999999998,2,3
32,20.15465625,265.78125,152.970604481029,198.9345,204.067,206.163,210.9,171.20999999999998,2,3
25,19.54864,273.6,110.46967543917528,144.09900000000002,149.4705,151.173,154.68,125.33,3,3
30,19.61753333333333,262.6,138.46185048319128,175.72899999999998,179.91099999999997,182.063,186.69000000000003,125.25,3,3
32,19.65825,262.59375,150.11003696989926,185.9125,200.3145,202.446,207.15,119.25,3,3
25,20.042050000000003,283.44,109.20959217607984,138.324,145.31050000000002,147.647,152.01000000000002,138.36,1,3
30,19.286266666666663,270.2,133.8466057236739,172.37750000000003,179.342,181.773,186.36,165.93,1,3
32,20.011109375,268.6875,146.95134046376455,183.6935,195.909,197.859,202.77,190.11,1,3
25,20.02788,272.88,113.60233523249032,141.2785,150.236,152.262,156.87,135.42,2,3
30,20.195083333333333,250.7,151.91024706886435,200.98450000000005,208.5285,211.614,216.72000000000008,167.76,2,3
32,20.277271875000004,263.8125,151.5674933258401,202.54475,207.626,210.57,215.94,177.78,2,3
25,19.916188,247.92,125.16121118797116,159.95525,167.98100000000002,170.65,175.32,122.28,3,3
30,20.38193333333334,259.0,145.8272854460634,199.1985,206.549,209.287,213.96,122.0,3,3
32,21.00753125,275.34375,150.27108637146426,184.4405,202.1495,204.4,209.25,137.91,3,3
25,19.83426,252.96,121.68276099611722,156.6515,161.452,163.03099999999998,167.33999999999995,155.29,1,3
30,20.5808,261.8,146.0387391893459,187.43050000000005,200.5325,203.164,208.35,179.97,1,3
32,19.74925,276.0,142.6648069890565,182.92,192.126,194.535,199.44,178.39999999999998,1,3
25,20.536224,261.36,121.90265564112048,162.9039,167.6635,169.912,174.12,148.224,2,3
30,19.80483333333333,277.3,132.82525421007443,173.23450000000005,177.849,180.07999999999998,184.50000000000003,164.2,2,3
32,20.11859375,270.46875,147.4269417864297,190.0065,199.8245,201.818,207.0,171.8,2,3
25,19.45629,275.64,110.13310274735576,145.26925,149.88524999999998,151.5575,154.98000000000002,114.66,3,3
30,20.486016666666668,262.0,145.427033042483,186.5035,191.7885,194.183,198.83999999999995,143.46,3,3
32,19.225921875,264.09375,142.9304500191364,186.07,193.0695,195.747,200.52,128.97000000000003,3,3
25,19.6627,249.12,120.73025328777788,156.75924999999998,166.78580000000002,169.707,174.65999999999997,163.17000000000002,1,3
30,19.803500000000003,270.0,135.63163643063606,179.031,183.6665,186.00600000000003,189.99,179.55,1,3
32,20.4439875,262.5,153.1341092301695,205.9474,211.2955,214.57,220.41,202.74,1,3
25,19.60056,262.08,114.91817538222716,151.8125,156.08,158.255,162.18,136.08,2,3
30,20.04812333333333,279.0,135.1257492215737,174.11500000000004,180.22000000000003,182.912,187.32,159.79999999999998,2,3
32,20.455140625,259.03125,156.1780255749605,203.639,211.7265,214.148,219.3,179.97000000000003,2,3
25,20.65292,264.6,122.30808346022324,155.21699999999998,160.811,162.709,166.76999999999998,130.65,3,3
30,20.412206666666663,266.2,143.61474000308775,185.07325000000003,192.37949999999995,195.093,200.37,133.61999999999998,3,3
32,19.677851562500003,279.09375,139.21318303643224,176.226,183.0285,185.112,189.09,132.12,3,3
25,19.98898,252.0,122.96254592937592,160.5575,165.44150000000002,167.545,171.23999999999998,162.6,1,3
30,20.030516666666664,249.9,149.14847298906693,195.633,202.224,205.52400000000003,210.63,194.25000000000003,1,3
32,19.780265625,268.125,145.4391926531422,188.0305,192.853,194.693,199.41,188.79,1,3
